Identifier,Remark,Identifier,default,ru
,,MANPAGES_CCMD_KILL_DESC,"Used by itself, this kills the player. Alternatively, you can specify ""kill monsters"" to kill every monster in the level or ""kill baddies"" to kill every unfriendly monster in the level. Note that this command also prevents actors which normally spawn other actors on death (e.g. the Pain Elemental) from doing so.

If a class is specified, this kills all actors of that type in the map.

{{NOTE:}} This command cannot destroy actors which have {{NODAMAGE}} flag. However, this can be worked around by giving it {{PainChance}} ""Massacre"", 256. Simply have the monster perform {{A_ChangeFlag}} to remove the flag, and call {{A_Die}}(""Extreme"") after a one tic delay passes.",
,,MANPAGES_CCMD_KILL_EXMP,,
,,MANPAGES_CCMD_LAND_NAME,land,
,,MANPAGES_CCMD_LAND_DESC,"If you are using a {{flight}} item, deactivates it and causes you to land.",
,,MANPAGES_CCMD_LAND_EXMP,,
,,MANPAGES_CCMD_LINETARGET_NAME,linetarget [verbose],
,,MANPAGES_CCMD_LINETARGET_DESC,"Will make the game display the actor name, health, and starting health of the monster the player is looking directly at. If {{verbose}} is non-zero, additional information is displayed, similar to that printed by {{info}}.",
,,MANPAGES_CCMD_LINETARGET_EXMP,,
,,MANPAGES_CCMD_LISTBOTS_NAME,listbots,
,,MANPAGES_CCMD_LISTBOTS_DESC,"Lists the bots available in bots.cfg, and indicates which are currently playing.",
,,MANPAGES_CCMD_LISTBOTS_EXMP,,
,,MANPAGES_CCMD_LISTLIGHTS_NAME,listlights,
,,MANPAGES_CCMD_LISTLIGHTS_DESC,"Prints a list of all {{dynamic lights}}, either attached or stand-alone, as well as their position, color, and radius, and the number of walls and subsectors that are affected by them.",
,,MANPAGES_CCMD_LISTLIGHTS_EXMP,,
,,MANPAGES_CCMD_LISTMAPS_NAME,listmaps,
,,MANPAGES_CCMD_LISTMAPS_DESC,"Dumps a list of all maps defined in {{MAPINFO}} to the console, along with their lump names. This can make locating a map that uses a non-standard lump name easier.

Also lists which file contains the map.",
,,MANPAGES_CCMD_LISTMAPS_EXMP,,
,,MANPAGES_CCMD_LISTMAPSECTIONS_NAME,listmapsections,
,,MANPAGES_CCMD_LISTMAPSECTIONS_DESC,Reports on how the OpenGL renderer divided the map into sections.,
,,MANPAGES_CCMD_LISTMAPSECTIONS_EXMP,,
,,MANPAGES_CCMD_LISTSNAPSHOTS_NAME,listsnapshots,
,,MANPAGES_CCMD_LISTSNAPSHOTS_DESC,Displays a list of which maps have savedata stored (for {{hub}} travel purposes) in the current game.,
,,MANPAGES_CCMD_LISTSNAPSHOTS_EXMP,,
,,MANPAGES_CCMD_LISTSOUNDCHANNELS_NAME,listsoundchannels,
,,MANPAGES_CCMD_LISTSOUNDCHANNELS_DESC,"Displays the current amount of sounds being played, along with their positions, followed by the total amount at the end.",
,,MANPAGES_CCMD_LISTSOUNDCHANNELS_EXMP,,
,,MANPAGES_CCMD_LISTSOUNDS_NAME,listsounds,
,,MANPAGES_CCMD_LISTSOUNDS_DESC,"Logs a simple, enumerated list of all the {{defined sounds}}.",
,,MANPAGES_CCMD_LISTSOUNDS_EXMP,,
,,MANPAGES_CCMD_LOGFILE_NAME,logfile [file],
,,MANPAGES_CCMD_LOGFILE_DESC,"If {{file}} is not specified, console logging will be stopped (if active). Otherwise, a file named {{file}} will be created on disk, and all console output will be recorded in it as well as on the screen.",
,,MANPAGES_CCMD_LOGFILE_EXMP,,
,,MANPAGES_CCMD_LOOPSOUND_NAME,loopsound <sound>,
,,MANPAGES_CCMD_LOOPSOUND_DESC,"Spawns a {{SpeakerIcon}} at the player's position and makes it loop constantly the given sound. Like all other sounds in the game, {{sound}} must be properly defined in a SNDINFO lump before you can use it.",
,,MANPAGES_CCMD_LOOPSOUND_EXMP,,
,,MANPAGES_CCMD_MAP_NAME,map <lumpname> [dm|coop],
,,MANPAGES_CCMD_MAP_DESC,"Immediately warps the player to the specified map, skipping the intermission screen. (e.g. ""map e2m3"" or ""map map27"") Also resets the player's inventory and health to their starting values, as if they had started a new game. Use changemap to change to a new map without starting the game over. Passing * instead of a map name warps the player to the current map. Optionally the dm or coop keyword can be added to set the game mode to emulated {{multiplayer}}. Without this keyword the game mode defaults to single-player.",
,,MANPAGES_CCMD_MAP_EXMP,,
,,MANPAGES_CCMD_MAPBIND_NAME,mapbind [key] [command],
,,MANPAGES_CCMD_MAPBIND_DESC,"This command works just like bind, except it controls the action that occurs when the automap is displayed. (Panning controls are ineffective on the overlay map.) A list of automap-specific controls may be found {{here}}.",
,,MANPAGES_CCMD_MAPBIND_EXMP,,
,,MANPAGES_CCMD_MAPCHECKSUM_NAME,mapchecksum [map slot | *] [map slot | *] [map slot | *] [...],
,,MANPAGES_CCMD_MAPCHECKSUM_DESC,"Prints the MD5 checksum for the given map slots. Executing the command without arguments or passing an asterisk (*) instead of a map slot prints the checksum for the current map.

The engine uses these checksums for its {{automatic compatibility}}. It is computed by using all of the map's core data lump (not the lumps generated by a node builder): the map label if it is not empty (as it may contain {{FraggleScript}}), the {{THINGS}}, {{SIDEDEFS}}, {{LINEDEFS}}, and {{SECTORS}} lumps, and the {{BEHAVIOR}} lump if it is present. For {{UDMF}} maps, the {{TEXTMAP}} and {{BEHAVIOR}} lumps are concerned.",
,,MANPAGES_CCMD_MAPCHECKSUM_EXMP,,
,,MANPAGES_CCMD_MAPINFO_NAME,mapinfo [map name],
,,MANPAGES_CCMD_MAPINFO_DESC,"Prints select pieces of information about the map specified by {{map name}} (e.g. E1M8 or MAP07). If no map name is specified, the information pertains to the current map.",
,,MANPAGES_CCMD_MAPINFO_EXMP,,
,,MANPAGES_CCMD_MD5SUM_NAME,md5sum <file>,
,,MANPAGES_CCMD_MD5SUM_DESC,Prints the MD5 checksum of the given file,
,,MANPAGES_CCMD_MD5SUM_EXMP,,
,,MANPAGES_CCMD_MDK_NAME,mdk [damagetype],
,,MANPAGES_CCMD_MDK_DESC,"This cheat will deal 1000000 damage to whatever is in the center of the screen, using a {{hitscan}} attack. Use a crosshair to get the exact point of what to kill. Optionally, a {{damage type}} for the attack can be specified. This is not available in {{deathmatch}} mode, even if {{sv_cheats}} is true.

{{NOTE:}} Similar to the {{kill}} command above, this command cannot destroy actors which have {{NODAMAGE}} flag, or {{LAXTELEFRAGDMG}} with a reduced enough damagefactor property.",
,,MANPAGES_CCMD_MDK_EXMP,,
,,MANPAGES_CCMD_MENU_ADVSOUND_NAME,menu_advsound,
,,MANPAGES_CCMD_MENU_ADVSOUND_DESC,Activates the {{advanced sound options}} menu.,
,,MANPAGES_CCMD_MENU_ADVSOUND_EXMP,,
,,MANPAGES_CCMD_MENU_AUTOMAP_NAME,menu_automap,
,,MANPAGES_CCMD_MENU_AUTOMAP_DESC,Activates the {{automap options}} menu.,
,,MANPAGES_CCMD_MENU_AUTOMAP_EXMP,,
,,MANPAGES_CCMD_MENU_COMPATIBILITY_NAME,menu_compatibility,
,,MANPAGES_CCMD_MENU_COMPATIBILITY_DESC,Activates the {{compatibility options}} menu.,
,,MANPAGES_CCMD_MENU_COMPATIBILITY_EXMP,,
,,MANPAGES_CCMD_MENU_DISPLAY_NAME,menu_display,
,,MANPAGES_CCMD_MENU_DISPLAY_DESC,Activates the {{display options}} menu.,
,,MANPAGES_CCMD_MENU_DISPLAY_EXMP,,
,,MANPAGES_CCMD_MENU_ENDGAME_NAME,menu_endgame,
,,MANPAGES_CCMD_MENU_ENDGAME_DESC,"Asks the user if they want to end the current game, and returns to the title screen if they do.",
,,MANPAGES_CCMD_MENU_ENDGAME_EXMP,,
,,MANPAGES_CCMD_MENU_GAME_NAME,menu_game,
,,MANPAGES_CCMD_MENU_GAME_DESC,Activates the {{new game menu}}.,
,,MANPAGES_CCMD_MENU_GAME_EXMP,,
,,MANPAGES_CCMD_MENU_GAMEPLAY_NAME,menu_gameplay,
,,MANPAGES_CCMD_MENU_GAMEPLAY_DESC,Activates the {{gameplay options}} ({{dmflags}}) menu.,
,,MANPAGES_CCMD_MENU_GAMEPLAY_EXMP,,
,,MANPAGES_CCMD_MENU_HELP_NAME,menu_help,
,,MANPAGES_CCMD_MENU_HELP_DESC,Displays the {{help screen}}.,
,,MANPAGES_CCMD_MENU_HELP_EXMP,,
,,MANPAGES_CCMD_MENU_JOYSTICK_NAME,menu_joystick,
,,MANPAGES_CCMD_MENU_JOYSTICK_DESC,Activates the {{joystick/game controller configuration}} menu.,
,,MANPAGES_CCMD_MENU_JOYSTICK_EXMP,,
,,MANPAGES_CCMD_MENU_KEYS_NAME,menu_keys,
,,MANPAGES_CCMD_MENU_KEYS_DESC,Activates the {{customize controls}} menu.,
,,MANPAGES_CCMD_MENU_KEYS_EXMP,,
,,MANPAGES_CCMD_MENU_LOAD_NAME,menu_load,
,,MANPAGES_CCMD_MENU_LOAD_DESC,Activates the {{load game menu}}.,
,,MANPAGES_CCMD_MENU_LOAD_EXMP,,
,,MANPAGES_CCMD_MENU_MAIN_NAME,menu_main,
,,MANPAGES_CCMD_MENU_MAIN_DESC,Activates the {{main menu}}.,
,,MANPAGES_CCMD_MENU_MAIN_EXMP,,
,,MANPAGES_CCMD_MENU_MAPCOLORS_NAME,menu_mapcolors,
,,MANPAGES_CCMD_MENU_MAPCOLORS_DESC,Activates the {{custom automap colors}} menu.,
,,MANPAGES_CCMD_MENU_MAPCOLORS_EXMP,,
,,MANPAGES_CCMD_MENU_MESSAGES_NAME,menu_messages,
,,MANPAGES_CCMD_MENU_MESSAGES_DESC,Activates the {{message options}} menu.,
,,MANPAGES_CCMD_MENU_MESSAGES_EXMP,,
,,MANPAGES_CCMD_MENU_MODREPLAYER_NAME,menu_modreplayer,
,,MANPAGES_CCMD_MENU_MODREPLAYER_DESC,Activates the {{module replayer options}} menu.,
,,MANPAGES_CCMD_MENU_MODREPLAYER_EXMP,,
,,MANPAGES_CCMD_MENU_MOUSE_NAME,menu_mouse,
,,MANPAGES_CCMD_MENU_MOUSE_DESC,Activates the {{mouse configuration}} menu.,
,,MANPAGES_CCMD_MENU_MOUSE_EXMP,,
,,MANPAGES_CCMD_MENU_OPTIONS_NAME,menu_options,
,,MANPAGES_CCMD_MENU_OPTIONS_DESC,Activates the {{options menu}}.,
,,MANPAGES_CCMD_MENU_OPTIONS_EXMP,,
,,MANPAGES_CCMD_MENU_PLAYER_NAME,menu_player,
,,MANPAGES_CCMD_MENU_PLAYER_DESC,Activates the {{player setup}} menu.,
,,MANPAGES_CCMD_MENU_PLAYER_EXMP,,
,,MANPAGES_CCMD_MENU_QUIT_NAME,menu_quit,
,,MANPAGES_CCMD_MENU_QUIT_DESC,"Activates the {{quit menu}} which asks the user if they want to quit, and quits if they do.",
,,MANPAGES_CCMD_MENU_QUIT_EXMP,,
,,MANPAGES_CCMD_MENU_SAVE_NAME,menu_save,
,,MANPAGES_CCMD_MENU_SAVE_DESC,Activates the {{save game menu}}.,
,,MANPAGES_CCMD_MENU_SAVE_EXMP,,
,,MANPAGES_CCMD_MENU_SCOREBOARD_NAME,menu_scoreboard,
,,MANPAGES_CCMD_MENU_SCOREBOARD_DESC,Activates the {{scoreboard options}} menu.,
,,MANPAGES_CCMD_MENU_SCOREBOARD_EXMP,,
,,MANPAGES_CCMD_MENU_SOUND_NAME,menu_sound,
,,MANPAGES_CCMD_MENU_SOUND_DESC,Activates the {{sound options}} menu.,
,,MANPAGES_CCMD_MENU_SOUND_EXMP,,
,,MANPAGES_CCMD_MENU_VIDEO_NAME,menu_video,
,,MANPAGES_CCMD_MENU_VIDEO_DESC,Activates the {{video mode}} menu.,
,,MANPAGES_CCMD_MENU_VIDEO_EXMP,,
,,MANPAGES_CCMD_MESSAGEMODE_NAME,messagemode,
,,MANPAGES_CCMD_MESSAGEMODE_DESC,Enters message entry mode. Anything typed while in this mode will be sent to everyone else as if you had used the say command once you press enter.,
,,MANPAGES_CCMD_MESSAGEMODE_EXMP,,
,,MANPAGES_CCMD_MONSTER_NAME,monster [class or TID],
,,MANPAGES_CCMD_MONSTER_DESC,"Prints a list of all living, unfriendly {{monsters}} present in the map, each on a line of the form ClassName at (X, Y, Z).

Passing a monster's class name to the command, filters the list, listing only those with the matching class name. At the end of the list, the total count of found monsters is printed. Passing a TID instead of a class name, filters the list by TID.",
,,MANPAGES_CCMD_MONSTER_EXMP,,
,,MANPAGES_CCMD_MONSTERNUM_NAME,monsternum [class or TID],
,,MANPAGES_CCMD_MONSTERNUM_DESC,"Prints the total count of all living, unfriendly monsters present in the map. Passing a monster's class name to the command, prints the total count of that class only. Passing a TID instead of a class name, prints the total count of monsters with the matching TID.",
,,MANPAGES_CCMD_MONSTERNUM_EXMP,,
,,MANPAGES_CCMD_MORPHME_NAME,morphme [class],
,,MANPAGES_CCMD_MORPHME_DESC,"Transforms you into a chicken in Heretic and a pig in Hexen and Doom (The latter only happens if you have the relevant graphics present). Additionally, if ""class"" is specified, it will attempt to morph you into the supplied class. This will only work if the target class is inherited from PlayerPawn, and you are not in a state that cannot otherwise morph (i.e. death).",
,,MANPAGES_CCMD_MORPHME_EXMP,,
,,MANPAGES_CCMD_MYINFO_NAME,myinfo,
,,MANPAGES_CCMD_MYINFO_DESC,"Prints a lot of information about the playerpawn you are controlling in a similar manner to ""info"".",
,,MANPAGES_CCMD_MYINFO_EXMP,,
,,MANPAGES_CCMD_NET_ADDCONTROLLER_NAME,net_addcontroller <player>,
,,MANPAGES_CCMD_NET_ADDCONTROLLER_DESC,Adds a player to the list of controllers who are able to change game settings.,
,,MANPAGES_CCMD_NET_ADDCONTROLLER_EXMP,,
,,MANPAGES_CCMD_NET_LISTCONTROLLERS_NAME,net_listcontrollers,
,,MANPAGES_CCMD_NET_LISTCONTROLLERS_DESC,Lists the current controllers.,
,,MANPAGES_CCMD_NET_LISTCONTROLLERS_EXMP,,
,,MANPAGES_CCMD_NET_REMOVECONTROLLER_NAME,net_removecontroller <player>,
,,MANPAGES_CCMD_NET_REMOVECONTROLLER_DESC,Removes a player from the list of controllers.,
,,MANPAGES_CCMD_NET_REMOVECONTROLLER_EXMP,,
,,MANPAGES_CCMD_NEXTMAP_NAME,nextmap,
,,MANPAGES_CCMD_NEXTMAP_DESC,Warps the player to the next map as specified by {{MAPINFO}}.  Also resets the player's inventory and health as if a new game had been started.,
,,MANPAGES_CCMD_NEXTMAP_EXMP,,
,,MANPAGES_CCMD_NEXTSECRET_NAME,nextsecret,
,,MANPAGES_CCMD_NEXTSECRET_DESC,"Warps the player to the current secret map as specified by {{MAPINFO}}, just as if he had found the secret exit in this map.  Also resets the player's inventory and health as if a new game had been started.",
,,MANPAGES_CCMD_NEXTSECRET_EXMP,,
,,MANPAGES_CCMD_NOCLIP_NAME,noclip,
,,MANPAGES_CCMD_NOCLIP_DESC,"Toggles noclipping mode on/off. With this mode, you can walk through walls and solid actors, and are able to step up by an infinite amount.  Basically your horizontal movement will never be restricted.  This can be useful for passing through locked doors or quickly accessing later parts of a map.",
,,MANPAGES_CCMD_NOCLIP_EXMP,,
,,MANPAGES_CCMD_NOCLIP2_NAME,noclip2,
,,MANPAGES_CCMD_NOCLIP2_DESC,"Toggles noclipping mode 2 on/off. This is similar to the {{noclip}} command above, except it also toggles the {{NOGRAVITY}} flag on and gives the ability to fly through {{3D floors}}.",
,,MANPAGES_CCMD_NOCLIP2_EXMP,,
,,MANPAGES_CCMD_NOTARGET_NAME,notarget,
,,MANPAGES_CCMD_NOTARGET_DESC,"Toggles notarget mode on/off. While active, monsters will not target you unless you hurt them first. In ""modern FPS"", monsters ""can't find you"" when in notarget mode. This is not the case with ZDoom.",
,,MANPAGES_CCMD_NOTARGET_EXMP,,
,,MANPAGES_CCMD_OPEN_NAME,open <path & filename> [dm|coop],
,,MANPAGES_CCMD_OPEN_DESC,"Opens the given file and loads the first map found in it. The rest of the loaded file is ignored — custom graphics and sounds, {{MAPINFO}} and actor definitions, maps beyond the first, etc., all that are ignored. The map name and slot will be the provided file name, rather than the map's actual slot within the file. Inventory and health are reset as if starting a new game. This command cannot be used in {{multiplayer}} mode. Like with map, the dm or coop keyword can be added to set the game mode to emulated {{multiplayer}}. Without this keyword the game mode defaults to single-player.",
,,MANPAGES_CCMD_OPEN_EXMP,,
,,MANPAGES_CCMD_OPENMENU_NAME,openmenu <menu_name>,
,,MANPAGES_CCMD_OPENMENU_DESC,"Opens the given {{menu}}, using its {{MENUDEF}} name.",
,,MANPAGES_CCMD_OPENMENU_EXMP,,
,,MANPAGES_CCMD_PAUSE_NAME,pause,
,,MANPAGES_CCMD_PAUSE_DESC,Pauses and unpauses the game.,
,,MANPAGES_CCMD_PAUSE_EXMP,,
,,MANPAGES_CCMD_PINGS_NAME,pings,
,,MANPAGES_CCMD_PINGS_DESC,"This lists a very rough estimate of the speed of the connection between your machine and any others in the game. In reality, the values printed by this command aren't even pings; they're just the number of milliseconds that have passed since the last time you received a network packet from the other machines.",
,,MANPAGES_CCMD_PINGS_EXMP,,
,,MANPAGES_CCMD_PLAYDEMO_NAME,playdemo <demo>,
,,MANPAGES_CCMD_PLAYDEMO_DESC,Plays a demo. The demo can be a file on disk or a lump in a wad.,
,,MANPAGES_CCMD_PLAYDEMO_EXMP,,
,,MANPAGES_CCMD_PLAYERCLASSES_NAME,playerclasses,
,,MANPAGES_CCMD_PLAYERCLASSES_DESC,"Lists all available {{player classes}}, giving for each a number (starting at zero), the class' actor name, and the class' display name.",
,,MANPAGES_CCMD_PLAYERCLASSES_EXMP,,
,,MANPAGES_CCMD_PLAYERINFO_NAME,playerinfo [player],
,,MANPAGES_CCMD_PLAYERINFO_DESC,"Without parameters, lists the numbers for each player in the game. If you specify a {{player}}, then details about that player's user info will be listed.",
,,MANPAGES_CCMD_PLAYERINFO_EXMP,,
,,MANPAGES_CCMD_PLAYERSOUNDS_NAME,playersounds,
,,MANPAGES_CCMD_PLAYERSOUNDS_DESC,Lists the player sounds defined by each player class and skin.,
,,MANPAGES_CCMD_PLAYERSOUNDS_EXMP,,
,,MANPAGES_CCMD_PLAYLIST_NAME,playlist <playlist.m3u> [shuffle|position],
,,MANPAGES_CCMD_PLAYLIST_DESC,"Loads a WinAmp .m3u playlist. Any music that would normally be played will be ignored, and the songs in the playlist will be played instead. If you add the word shuffle after the name of the .m3u file, the playlist will be replayed in a random order. In place of shuffle, you can also specify {{position}}, a number corresponding to the song number in the playlist you want to play first.",
,,MANPAGES_CCMD_PLAYLIST_EXMP,,
,,MANPAGES_CCMD_PLAYLISTNEXT_NAME,playlistnext,
,,MANPAGES_CCMD_PLAYLISTNEXT_DESC,Plays the next song in the playlist.,
,,MANPAGES_CCMD_PLAYLISTNEXT_EXMP,,
,,MANPAGES_CCMD_PLAYLISTPOS_NAME,playlistpos <position>,
,,MANPAGES_CCMD_PLAYLISTPOS_DESC,Starts playing the song at the specified {{position}} in the playlist.,
,,MANPAGES_CCMD_PLAYLISTPOS_EXMP,,
,,MANPAGES_CCMD_PLAYLISTPREV_NAME,playlistprev,
,,MANPAGES_CCMD_PLAYLISTPREV_DESC,Plays the previous song in the playlist.,
,,MANPAGES_CCMD_PLAYLISTPREV_EXMP,,
,,MANPAGES_CCMD_PLAYLISTSTATUS_NAME,playliststatus,
,,MANPAGES_CCMD_PLAYLISTSTATUS_DESC,Displays the number of songs in the playlist and the currently playing song.,
,,MANPAGES_CCMD_PLAYLISTSTATUS_EXMP,,
,,MANPAGES_CCMD_PLAYSEQUENCE_NAME,playsequence <sequence> [<number>],
,,MANPAGES_CCMD_PLAYSEQUENCE_DESC,"Plays a {{sound sequence}} on the local machine. If a number is not given, 0 is used. The {{sequence}} must be defined in {{SNDSEQ}}.",
,,MANPAGES_CCMD_PLAYSEQUENCE_EXMP,,
,,MANPAGES_CCMD_PLAYSOUND_NAME,playsound <sound>,
,,MANPAGES_CCMD_PLAYSOUND_DESC,"Plays a sound on the local machine. Like all other sounds in the game, {{sound}} must be properly defined in a {{SNDINFO}} lump before you can use it.",
,,MANPAGES_CCMD_PLAYSOUND_EXMP,,
,,MANPAGES_CCMD_POWERUP_NAME,powerup,
,,MANPAGES_CCMD_POWERUP_DESC,Powers you up in Heretic as if you had used a Tome of Power.,
,,MANPAGES_CCMD_POWERUP_EXMP,,
,,MANPAGES_CCMD_PRINT_NAME,print <string>,
,,MANPAGES_CCMD_PRINT_DESC,Prints a named string to the console. These are the strings you can edit with a bex patch.,
,,MANPAGES_CCMD_PRINT_EXMP,,
,,MANPAGES_CCMD_PRINTINV_NAME,printinv,
,,MANPAGES_CCMD_PRINTINV_DESC,Prints your current inventory to the console.,
,,MANPAGES_CCMD_PRINTINV_EXMP,,
,,MANPAGES_CCMD_PRINTSTATS_NAME,printstats,
,,MANPAGES_CCMD_PRINTSTATS_DESC,"Prints your statistics (kills, secrets, items, and time) for each level in the current game.",
,,MANPAGES_CCMD_PRINTSTATS_EXMP,,
,,MANPAGES_CCMD_PUKE_NAME,puke <script> [arg1 [arg2 [arg3]]],
,,MANPAGES_CCMD_PUKE_DESC,"Executes an {{ACS}} script on the current map, optionally passing it up to three numerical arguments. If you try this on {{multiplayer}}, {{sv_cheats}} must normally be enabled. However, if the script has the ""net"" keyword, it can be activated by anyone in a multiplayer game.

If the ""script"" argument is a negative value, the script will be executed as if it had been called by {{ACS_ExecuteAlways}}; otherwise it will be executed as if called by {{ACS_Execute}}. Script 0 is reserved for {{{{Strife}}}} support and cannot be puked.",
,,MANPAGES_CCMD_PUKE_EXMP,,
,,MANPAGES_CCMD_PUKENAME_NAME,pukename <script> [always] [arg1 [arg2 [arg3]]],
,,MANPAGES_CCMD_PUKENAME_DESC,"Executes a {{named script}} on the current map, optionally passing it up to three numerical arguments. If you try this on {{multiplayer}}, {{sv_cheats}} must normally be enabled. However, if the script has the ""net"" keyword, it can be activated by anyone in a multiplayer game.

If the always keyword is placed after the script name (and before any optional argument), the script will be executed as if it had been called by {{ACS_NamedExecuteAlways}}; otherwise it will be executed as if called by {{ACS_NamedExecute}}.",
,,MANPAGES_CCMD_PUKENAME_EXMP,,
,,MANPAGES_CCMD_PULLIN_NAME,pullin <wadfile>,
,,MANPAGES_CCMD_PULLIN_DESC,Loads a wadfile at startup. This command is only valid inside .cfg files that have been executed at startup.,
,,MANPAGES_CCMD_PULLIN_EXMP,,
,,MANPAGES_CCMD_REBIND_NAME,rebind <command>,
,,MANPAGES_CCMD_REBIND_DESC,"Changes the binding for the key that caused the rebind command to execute. For obvious reasons, this command cannot be used directly from the console.

For example, this command will cause the first press of b to echo ""setting 1"" to the console. All future presses of b will echo ""setting 2"" instead.:
bind b ""echo setting 1; rebind \""echo setting 2\""""",
,,MANPAGES_CCMD_REBIND_EXMP,,
,,MANPAGES_CCMD_RECORDMAP_NAME,recordmap <filename> <map name> [dm|coop],
,,MANPAGES_CCMD_RECORDMAP_DESC,"Starts a new game on the specified map, recording a demo to the specified filename. Passing * instead of a map name records a demo of the current map. Optionally the dm or coop keyword can be added to set the game mode to emulated {{multiplayer}}. Without this keyword the game mode defaults to single-player.",
,,MANPAGES_CCMD_RECORDMAP_EXMP,,
,,MANPAGES_CCMD_REMOVE_NAME,remove <class>,
,,MANPAGES_CCMD_REMOVE_DESC,"Removes all entities of the type specified from the current map, except for live players.

{{WARNING:}} Removing voodoo dolls may break maps which rely upon triggering line specials, and should be avoided.

{{NOTE:}} This command does not have any categories, and only corresponds with actor names. I.e. 'remove monsters' will not remove all monsters, though expansion of this command is planned to include some categories.",
,,MANPAGES_CCMD_REMOVE_EXMP,,
,,MANPAGES_CCMD_REMOVEBOTS_NAME,removebots,
,,MANPAGES_CCMD_REMOVEBOTS_DESC,Removes any bots from the game. Bots will also be automatically removed from network games when the arbitrator quits.,
,,MANPAGES_CCMD_REMOVEBOTS_EXMP,,
,,MANPAGES_CCMD_RESET2DEFAULTS_NAME,reset2defaults,
,,MANPAGES_CCMD_RESET2DEFAULTS_DESC,Resets all {{console variables}} and key bindings to their default values.,
,,MANPAGES_CCMD_RESET2DEFAULTS_EXMP,,
,,MANPAGES_CCMD_RESET2SAVED_NAME,reset2saved,
,,MANPAGES_CCMD_RESET2SAVED_DESC,Resets all {{console variables}} and key bindings to the values they currently have in {{the ini}}.,
,,MANPAGES_CCMD_RESET2SAVED_EXMP,,
,,MANPAGES_CCMD_RESETCVAR_NAME,resetcvar <cvar>,
,,MANPAGES_CCMD_RESETCVAR_DESC,Resets {{cvar}} to the default value.,
,,MANPAGES_CCMD_RESETCVAR_EXMP,,
,,MANPAGES_CCMD_RESURRECT_NAME,resurrect,
,,MANPAGES_CCMD_RESURRECT_DESC,"When dead, resurrects the player (brings him back alive and to 100% health). Note - cannot be used when the player is ""broken apart"" e.g. shattered to pieces after being frozen.",
,,MANPAGES_CCMD_RESURRECT_EXMP,,
,,MANPAGES_CCMD_SAY_NAME,say <message>,
,,MANPAGES_CCMD_SAY_DESC,"Sends a message to everyone playing. If your message begins with ""/me"" then ""/me"" will be replaced by your name ala IRC.",
,,MANPAGES_CCMD_SAY_EXMP,,
,,MANPAGES_CCMD_SAY_TEAM_NAME,say_team <message>,
,,MANPAGES_CCMD_SAY_TEAM_DESC,"This is just like say except it only sends a message to your teammates. If teamplay is inactive, then this command will act exactly like say and send the message to everyone.",
,,MANPAGES_CCMD_SAY_TEAM_EXMP,,
,,MANPAGES_CCMD_SCREENSHOT_NAME,screenshot [file],
,,MANPAGES_CCMD_SCREENSHOT_DESC,"Dumps {{a copy of the screen}} to disk as a PNG or PCX file. If file is not specified, the screenshot filename will be in a set format which include the name of the IWAD being used and the time the shot was taken.",
,,MANPAGES_CCMD_SCREENSHOT_EXMP,,
,,MANPAGES_CCMD_SCRIPTSTAT_NAME,scriptstat,
,,MANPAGES_CCMD_SCRIPTSTAT_DESC,Lists the scripts running on the current level.,
,,MANPAGES_CCMD_SCRIPTSTAT_EXMP,,
,,MANPAGES_CCMD_SECRET_NAME,secret,
,,MANPAGES_CCMD_SECRET_DESC,"If a {{SECRETS}} lump is provided and covers the current map, prints a list of hints meant to help the player find the secrets.",
,,MANPAGES_CCMD_SECRET_EXMP,,
,,MANPAGES_CCMD_SELECT_NAME,select <item>,
,,MANPAGES_CCMD_SELECT_DESC,"Selects the given {{artifact}}, provided there is one in inventory.",
,,MANPAGES_CCMD_SELECT_EXMP,,
,,MANPAGES_CCMD_SET_NAME,set <CVAR> <value>,
,,MANPAGES_CCMD_SET_DESC,"Sets {{CVAR}} to {{value}}. If {{CVAR}} does not exist, it will be created.",
,,MANPAGES_CCMD_SET_EXMP,,
,,MANPAGES_CCMD_SETSLOT_NAME,setslot <slot> [<weapon1> [<weapon2> [...]]] (deprecated),
,,MANPAGES_CCMD_SETSLOT_DESC,"Clears the given weapon slot entirely, then fill it with the given weapons. If no slot is specified and no slots are given, the command prints to the console how the slots are currently filled. As of ZDoom 2.3.0, this has been deprecated and new ways of adding weapon slots are available, such as the {{Player.WeaponSlot}} or {{Weapon.SlotNumber}} property.",
,,MANPAGES_CCMD_SETSLOT_EXMP,,
,,MANPAGES_CCMD_SHOWPOP_NAME,showpop <number>,
,,MANPAGES_CCMD_SHOWPOP_DESC,"Display a {{{{Strife}}}}-style pop-up. The {{number}} can be:
- Log / mission objectives
- Key list
- Status / weapons, ammo, and statistics",
,,MANPAGES_CCMD_SHOWPOP_EXMP,,
,,MANPAGES_CCMD_SIZEDOWN_NAME,sizedown,
,,MANPAGES_CCMD_SIZEDOWN_DESC,"Decrements {{screenblocks}} by 1, shrinking the view window.",
,,MANPAGES_CCMD_SIZEDOWN_EXMP,,
,,MANPAGES_CCMD_SIZEUP_NAME,sizeup,
,,MANPAGES_CCMD_SIZEUP_DESC,"Increments {{screenblocks}} by 1, enlarging the view window.",
,,MANPAGES_CCMD_SIZEUP_EXMP,,
,,MANPAGES_CCMD_SKINS_NAME,skins,
,,MANPAGES_CCMD_SKINS_DESC,Lists the names of the skins that were loaded when the game was started.,
